
















NewTask,java calculator code
java code to solve linear equations,codereview.stackexchange.com/questions/40615/simple-java-calculator
java code to solve quadratic equation,www.sanfoundry.com/java-program-solve-linear-equation/
java code to teach basic algebra,www.careerbless.com/samplecodes/java/beginners/basicprograms/QuadraticEquationSolver.php
java code to solve equations,avc.com/2015/07/using-code-to-teach-algebra/
java code for algebra identities,stackoverflow.com/questions/1431885/how-to-solve-equations-with-java,www.csee.umbc.edu/~squire/cs455_l3.html,stackoverflow.com/questions/1431885/how-to-solve-equations-with-java,www.careerbless.com/samplecodes/java/beginners/basicprograms/QuadraticEquationSolver.php
java code for algebra expansions,introcs.cs.princeton.edu/java/95linear/Matrix.java.html,krum.rz.uni-mannheim.de/jas/,introcs.cs.princeton.edu/java/95linear/,https://news.ycombinator.com/item?id=9022676
NewTask,java code to build a canvas
java code to get mouse position,stackoverflow.com/questions/12139307/how-to-create-a-canvas-inside-jframe-and-draw-a-few-basic-shapes
java code for mouse click event,stackoverflow.com/questions/1439022/get-mouse-position
java code for color pallete,https://docs.oracle.com/javase/tutorial/uiswing/events/mouselistener.html,https://examples.javacodegeeks.com/desktop-java/awt/event/handle-mouse-clicks-example/,stackoverflow.com/questions/2668718/java-mouselistener
java code for color palette,
java code for color palette site:stackoverflow.com,www.sourcecodesworld.com/source/show.asp?ScriptID=811,https://docs.oracle.com/javase/tutorial/uiswing/components/colorchooser.html
java code for choosing a color on canvas,stackoverflow.com/questions/223971/generating-spectrum-color-palettes,stackoverflow.com/questions/8544585/java-swing-issue-using-color-palette
java code for choosing sketching,www.java2s.com/Code/Java/2D-Graphics-GUI/Drawcanvaswithcolorandtext.htm
NewTask,java code to add and insert records into a database
java code to add and edit records into a database,alvinalexander.com/java/edu/pj/jdbc/jdbc0002
NewTask,java code to divide into groups
NewTask,java swing draw
